cortar,Camara,tiktok_id,url
no,normal,javelin,https://www.tiktok.com/@katiegreen.37/video/6806444765177974021?is_copy_url=1&is_from_webapp=v1
si,lento,javelin,https://www.tiktok.com/@toriwest__/video/6855790186714942726?is_copy_url=1&is_from_webapp=v1
si,lento,javelin,https://www.tiktok.com/@katieeidem/video/7069950163099471150?is_copy_url=1&is_from_webapp=v1
no,lento,javelin,https://www.tiktok.com/@runnsphere/video/7072031160120921350?is_copy_url=1&is_from_webapp=v1
no,normal,javelin,https://www.tiktok.com/@brandon.snides/video/6833544100617129221?is_copy_url=1&is_from_webapp=v1
si,lento,javelin,https://www.tiktok.com/@itza.ceja.garcia/video/7012308000144641285?is_copy_url=1&is_from_webapp=v1
si,normal,javelin,https://www.tiktok.com/@arunmodi340/video/6826198945396542721?is_copy_url=1&is_from_webapp=v1
si,normal,javelin,https://www.tiktok.com/@javelinthrower21/video/6932730723652603142?is_copy_url=1&is_from_webapp=v1
no,pendiente,javelin,https://www.tiktok.com/@toriwest__/video/6880647055916748034?is_copy_url=1&is_from_webapp=v1
si,normal,javelin,https://www.tiktok.com/@olympiets/video/6843129275500006662?is_copy_url=1&is_from_webapp=v1
si,pendiente,javelin,https://www.tiktok.com/@yasir__sultan/video/7035094160868756763?is_copy_url=1&is_from_webapp=v1
si,normal,javelin,https://www.tiktok.com/@abhisaini7544/video/6820451199704173825?is_copy_url=1&is_from_webapp=v1
si,pendiente,javelin,https://www.tiktok.com/@yasir__sultan/video/7039350287571668251?is_copy_url=1&is_from_webapp=v1
si,normal,javelin,https://www.tiktok.com/@ewald1762/video/7070153937164242177?is_copy_url=1&is_from_webapp=v1
si,normal,javelin,https://www.tiktok.com/@ewald1762/video/7070153937164242177?is_copy_url=1&is_from_webapp=v1
si,normal,javelin,https://www.tiktok.com/@ewald1762/video/7070153937164242177?is_copy_url=1&is_from_webapp=v1
si,pendiente,javelin,https://www.tiktok.com/@coach_slaus/video/6948012203886890245?is_copy_url=1&is_from_webapp=v1
no,normal,javelin,https://www.tiktok.com/@jakg94/video/6938822743374826753?is_copy_url=1&is_from_webapp=v1
si,normal,javelin,https://www.tiktok.com/@lydiesenange/video/6919539983384612097?is_copy_url=1&is_from_webapp=v1
si,normal,javelin,https://www.tiktok.com/@lesathletesfrancais/video/7025774586067225862?is_copy_url=1&is_from_webapp=v1
si,lento,javelin,https://www.tiktok.com/@thanasisfagridas/video/7024042969980341509?is_copy_url=1&is_from_webapp=v1
si,lento,javelin,https://www.tiktok.com/@tzatz27/video/7048264741210443014?is_copy_url=1&is_from_webapp=v1
si,normal,javelin,https://www.tiktok.com/@thomas.noakes.athletics/video/7071119823194819841?is_copy_url=1&is_from_webapp=v1
si,pendiente,javelin,https://www.tiktok.com/@runnsphere/video/7065408966808898821?is_copy_url=1&is_from_webapp=v1
si,pendiente,javelin,https://www.tiktok.com/@itza.ceja.garcia/video/7012736903921290501?is_copy_url=1&is_from_webapp=v1
si,lento,javelin,https://www.tiktok.com/@samueltabo/video/6681391965340175621?is_copy_url=1&is_from_webapp=v1
si,lento,javelin,https://www.tiktok.com/@runnsphere/video/7067983774000123141?is_copy_url=1&is_from_webapp=v1
si,normal,javelin,https://www.tiktok.com/@runnsphere/video/7067983774000123141?is_copy_url=1&is_from_webapp=v1
si,lento,javelin,https://www.tiktok.com/@runnsphere/video/7067983774000123141?is_copy_url=1&is_from_webapp=v1
si,normal,javelin,https://www.tiktok.com/@runnsphere/video/7067983774000123141?is_copy_url=1&is_from_webapp=v1
si,normal,javelin,https://www.tiktok.com/@toriwest__/video/6899995452993850625?is_copy_url=1&is_from_webapp=v1
si,normal,javelin,https://www.tiktok.com/@toriwest__/video/6899995452993850625?is_copy_url=1&is_from_webapp=v1
si,normal,javelin,https://www.tiktok.com/@coach_slaus/video/6993037166771227909?is_copy_url=1&is_from_webapp=v1
si,normal,javelin,https://www.tiktok.com/@coach_slaus/video/6993037166771227909?is_copy_url=1&is_from_webapp=v1
si,normal,javelin,https://www.tiktok.com/@wandadiamondleague/video/6969457630024666373?is_copy_url=1&is_from_webapp=v1
si,lento,javelin,https://www.tiktok.com/@wandadiamondleague/video/6969457630024666373?is_copy_url=1&is_from_webapp=v1
si,normal,javelin,https://www.tiktok.com/@the_jindo/video/6979250622944087301?is_copy_url=1&is_from_webapp=v1
si,normal,javelin,https://www.tiktok.com/@coachjoericcio/video/7069580211721112878?is_copy_url=1&is_from_webapp=v1
si,lento,javelin,https://www.tiktok.com/@bellamkondasathis2/video/6786350802995875074?is_copy_url=1&is_from_webapp=v1
no,pendiente,javelin,https://www.tiktok.com/@coach_slaus/video/6960329191883623685?is_copy_url=1&is_from_webapp=v1
no,normal,javelin,https://www.tiktok.com/@rizwan_rozi/video/6982319630782123291?is_copy_url=1&is_from_webapp=v1
si,normal,javelin,https://www.tiktok.com/@cristipanait1/video/6837546121611595014?is_copy_url=1&is_from_webapp=v1
si,lento,javelin,https://www.tiktok.com/@rizwan_rozi/video/6981947258858196250?is_copy_url=1&is_from_webapp=v1
si,pendiente,javelin,https://www.tiktok.com/@ash_ie__/video/6819667445444316417?is_copy_url=1&is_from_webapp=v1
si,normal,javelin,https://www.tiktok.com/@heroes_wear_capes1/video/6889425944658955525?is_copy_url=1&is_from_webapp=v1
si,normal,javelin,https://www.tiktok.com/@olympiets/video/6809618113823296774?is_copy_url=1&is_from_webapp=v1
si,pendiente,javelin,https://www.tiktok.com/@itza.ceja.garcia/video/7021699022360431877?is_copy_url=1&is_from_webapp=v1
si,pendiente,javelin,https://www.tiktok.com/@_charihawkins/video/6806424069253188869?is_copy_url=1&is_from_webapp=v1
si,pendiente,javelin,https://www.tiktok.com/@rizwan_rozi/video/6983382535241878811?is_copy_url=1&is_from_webapp=v1
si,normal,javelin,https://www.tiktok.com/@wandadiamondleague/video/6847375617097338118?is_copy_url=1&is_from_webapp=v1
si,normal,javelin,https://www.tiktok.com/@javthrow/video/6816769619219549446?is_copy_url=1&is_from_webapp=v1
si,normal,javelin,https://www.tiktok.com/@vhn_000/video/6941223623013223681?is_copy_url=1&is_from_webapp=v1
si,normal,javelin,https://www.tiktok.com/@fresnostateathletics/video/6971837790937959685?is_copy_url=1&is_from_webapp=v1
si,normal,javelin,https://www.tiktok.com/@conancracksport/video/7026613777562897690?is_copy_url=1&is_from_webapp=v1
si,lento,javelin,https://www.tiktok.com/@abhaytewatia_02/video/6840822672859909377?is_copy_url=1&is_from_webapp=v1
si,pendiente,javelin,https://www.tiktok.com/@uvathrows/video/7010066321413049606?is_copy_url=1&is_from_webapp=v1
si,normal,javelin,https://www.tiktok.com/@yasir__sultan/video/6935822434121567490?is_copy_url=1&is_from_webapp=v1
